,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
               Margot Tsuru LaRose          / Michael Rooker,1955-4-6,-1,False,False,"
(22 June 1979            - 
present) (    2 children)          ",Male,-1
 Tina Kunakey / Vincent Cassel,1966-11-23,-1,False,False,"
(24 August 2018            - 
present) (    1 child)          ",Male,Female
 Monica Bellucci / Vincent Cassel,1966-11-23,1964-9-30,False,False,"
(3 August 1999            - 
26 August 2013) (    divorced) (    2 children)          ",Male,Female
 Michelle Schumacher / J.K. Simmons,1955-1-9,1966-9-28,True,False,"
(1996            - 
present) (    2 children)          ",Male,Female
 Evelyn Hope / Boris Karloff,1887-11-23,1904-3-11,False,False,"
(11 April 1946            - 
2 February 1969) (    his death)          ",Male,Female
               Dorothy Stine          / Boris Karloff,1887-11-23,-1,False,False,"
(12 April 1930            - 
10 April 1946) (    divorced) (    1 child)          ",Male,-1
               Helene Vivian Soule          / Boris Karloff,1887-11-23,-1,False,False,"
(3 February 1924            - 
6 June 1928) (    divorced)          ",Male,-1
               Montana Laurena Williams          / Boris Karloff,1887-11-23,-1,False,False,"
(1 July 1920            - 
1922) (    divorced)          ",Male,-1
 Olive de Wilton / Boris Karloff,1887-11-23,1898-3-25,False,False,"
(1915            - 
1919) (    divorced)          ",Male,Female
               Grace Harding          / Boris Karloff,1887-11-23,-1,False,False,"
(23 February 1910            - 
8 January 1913) (    divorced)          ",Male,-1
               Annemarie Stoldt          / Peter Lorre,1904-6-26,-1,False,False,"
(22 July 1953            - 
23 March 1964) (    his death) (    1 child)          ",Male,-1
 Kaaren Verne / Peter Lorre,1904-6-26,1918-4-6,False,False,"
(25 May 1945            - 
1950) (    divorced)          ",Male,Female
 Celia Lovsky / Peter Lorre,1904-6-26,1897-2-21,False,False,"
(23 June 1934            - 
13 March 1945) (    divorced)          ",Male,Female
 Camila Alves McConaughey / Matthew McConaughey,1969-11-4,1982-1-28,True,False,"
(9 June 2012            - 
present) (    3 children)          ",Male,Female
               Shelley Insley          / Paddy Considine,1973-9-5,-1,False,False,"
(2002            - 
present) (    3 children)          ",Male,-1
 Reese Witherspoon / Ryan Phillippe,1974-9-10,1976-3-22,False,True,"
(5 June 1999            - 
13 June 2008) (    divorced) (    2 children)          ",Male,Female
 Nnamdi Asomugha / Kerry Washington,1977-1-31,1981-7-6,True,False,"
(24 June 2013            - 
present) (    2 children)          ",Female,Male
 Steven Roy / Carrie-Anne Moss,1967-8-21,-1,False,False,"
(11 November 1999            - 
present) (    3 children)          ",Female,Male
               Robert Jay Brandt          / Janet Leigh,1927-7-6,-1,True,False,"
(15 September 1962            - 
3 October 2004) (    her death)          ",Female,-1
 Tony Curtis / Janet Leigh,1927-7-6,1925-6-3,True,True,"
(4 June 1951            - 
14 September 1962) (    divorced) (    2 children)          ",Female,Male
               Stanley Harold Reames          / Janet Leigh,1927-7-6,-1,True,False,"
(5 October 1945            - 
7 September 1949) (    divorced)          ",Female,-1
               John Kenneth Carlisle          / Janet Leigh,1927-7-6,-1,True,False,"
(21 August 1942            - 
28 December 1942) (    annulled)          ",Female,-1
 David Elwell / Catalina Sandino Moreno,1981-4-19,1979-0-0,True,False,"
(15 April 2006            - 
present) (    1 child)          ",Female,-1
               Jonathan Morrison          / Keisha Castle-Hughes,1990-3-24,-1,True,False,"
(14 February 2013            - 
2016) (    divorced)          ",Female,-1
 Robert Taylor / Barbara Stanwyck,1907-7-16,1911-8-5,True,False,"
(14 May 1939            - 
25 February 1952) (    divorced)          ",Female,Male
 Frank Fay / Barbara Stanwyck,1907-7-16,1891-11-17,True,False,"
(26 August 1928            - 
30 December 1935) (    divorced) (    1 child)          ",Female,Male
 Peter Friedman / Joan Allen,1956-8-20,1949-4-24,True,False,"
(1 January 1990            - 
10 March 2002) (    divorced) (    1 child)          ",Female,Male
               Joseph Paul Coleman          / Janet McTeer,1961-8-5,-1,True,False,"
(27 August 2010            - 
present)          ",Female,-1
 Fernando Torres / Fernanda Montenegro,1929-10-16,1929-11-14,True,False,"
(1954            - 
4 September 2008) (    his death) (    2 children)          ",Female,Male
               François Olivennes          / Kristin Scott Thomas,1960-5-24,-1,True,False,"
(1987            - 
2005) (    divorced) (    3 children)          ",Female,-1
 Michael Mayhew / Brenda Blethyn,1946-2-20,-1,True,False,"
(June 2010            - 
present)          ",Female,-1
               Alan Blethyn          / Brenda Blethyn,1946-2-20,-1,True,False,"
(8 January 1966            - 
1973) (    divorced)          ",Female,-1
 Davis Guggenheim / Elisabeth Shue,1963-10-6,1963-11-3,True,True,"
(August 1994            - 
present) (    3 children)          ",Female,Male
               David Lefferts Rawle          / Stockard Channing,1944-2-13,-1,True,False,"
(18 December 1982            - 
1988) (    divorced)          ",Female,-1
 David Debin / Stockard Channing,1944-2-13,1942-7-22,True,False,"
(20 December 1976            - 
1980) (    divorced)          ",Female,Male
 Paul Schmidt / Stockard Channing,1944-2-13,1934-1-29,True,False,"
(24 December 1969            - 
3 September 1976) (    divorced)          ",Female,Male
               Walter Channing Jr.          / Stockard Channing,1944-2-13,-1,True,False,"
(18 June 1964            - 
1967) (    divorced)          ",Female,-1
               Robert John Knittel          / Luise Rainer,1910-1-12,-1,True,False,"
(12 July 1945            - 
15 June 1989) (    his death) (    1 child)          ",Female,-1
 Clifford Odets / Luise Rainer,1910-1-12,1906-7-18,True,False,"
(8 January 1937            - 
14 May 1940) (    divorced)          ",Female,Male
 Randle Mell / Mary McDonnell,1952-4-28,1951-12-28,True,False,"
(29 September 1984            - 
present) (    2 children)          ",Female,-1
 Gary Morton / Lucille Ball,1911-8-6,1924-12-19,True,False,"
(19 November 1961            - 
26 April 1989) (    her death)          ",Female,Male
 Desi Arnaz / Lucille Ball,1911-8-6,1917-3-2,True,True,"
(30 November 1940            - 
16 May 1961) (    divorced) (    2 children)          ",Female,Male
 Ben Harper / Laura Dern,1967-2-10,1969-10-28,True,False,"
(23 December 2005            - 
2013) (    divorced) (    2 children)          ",Female,Male
 John Alderton / Pauline Collins,1940-9-3,1940-11-27,True,False,"
(22 May 1970            - 
present) (    3 children)          ",Female,Male
 Antonio Banderas / Melanie Griffith,1957-8-9,1960-8-10,True,True,"
(14 May 1996            - 
4 December 2015) (    divorced) (    1 child)          ",Female,Male
 Don Johnson / Melanie Griffith,1957-8-9,1949-12-15,True,True,"
(8 January 1976            - 
1976) (    divorced)          ",Female,Male
 Steven Bauer / Melanie Griffith,1957-8-9,1956-12-2,True,True,"
(8 September 1981            - 
1989) (    divorced) (    1 child)          ",Female,Male
               Michael R. Jarrett          / Sally Kirkland,1941-10-31,-1,True,False,"
(31 August 1974            - 
1975) (    divorced)          ",Female,-1
 Edwin Sherin / Jane Alexander,1939-10-28,1930-1-15,True,False,"
(29 March 1975            - 
4 May 2017) (    his death)          ",Female,Male
               Robert Alexander          / Jane Alexander,1939-10-28,-1,True,False,"
(23 July 1962            - 
1974) (    divorced) (    1 child)          ",Female,-1
 Neil Simon / Marsha Mason,1942-4-3,1927-7-4,True,True,"
(25 October 1973            - 
7 July 1983) (    divorced)          ",Female,Male
 Gary Campbell / Marsha Mason,1942-4-3,1938-11-22,True,False,"
(1965            - 
1970) (    divorced)          ",Female,Male
 Tracy Pollan / Michael J. Fox,1961-6-9,1960-6-22,True,False,"
(16 July 1988            - 
present) (    4 children)          ",Male,Female
 Kelly Preston / John Travolta,1954-2-18,1962-10-13,True,False,"
(12 September 1991            - 
present) (    3 children)          ",Male,Female
               Jasmine Chow          / Yun-Fat Chow,1955-5-18,-1,False,False,"
(6 May 1987            - 
present)          ",Female,-1
 On-On Yu / Yun-Fat Chow,1955-5-18,1959-10-22,False,False,"
(1983            - 
1983) (    divorced)          ",Female,Female
 Nina Li Chi / Jet Li,1963-4-26,1961-12-31,False,False,"
(19 September 1999            - 
present) (    2 children)          ",Male,Female
               Qiuyan Huang          / Jet Li,1963-4-26,-1,False,False,"
(1987            - 
1990) (    divorced) (    2 children)          ",Male,-1
 Joan Houseman / John Houseman,1902-9-22,1916-8-22,True,False,"
(11 November 1952            - 
31 October 1988) (    his death) (    2 children)          ",Male,Female
 Zita Johann / John Houseman,1902-9-22,1904-7-14,True,False,"
(5 October 1929            - 
13 September 1933) (    divorced)          ",Male,Female
 Gena O'Kelly / Chuck Norris,1940-3-10,-1,False,False,"
(28 November 1998            - 
present) (    2 children)          ",Male,-1
 Dianne Holechek / Chuck Norris,1940-3-10,1941-11-27,False,False,"
(29 December 1958            - 
1989) (    divorced) (    2 children)          ",Male,Female
 Gladys Portugues / Jean-Claude Van Damme,1960-10-18,1957-9-30,False,False,"
(3 January 1987            - 
1992) (    divorced) (    2 children)          ",Male,Female
 Darcy LaPier / Jean-Claude Van Damme,1960-10-18,1965-7-9,False,False,"
(3 February 1994            - 
1997) (    divorced) (    1 child)          ",Male,Female
               Cynthia Derderian          / Jean-Claude Van Damme,1960-10-18,-1,False,False,"
(24 August 1985            - 
1986) (    divorced)          ",Male,-1
               Maria Rodriguez          / Jean-Claude Van Damme,1960-10-18,-1,False,False,"
(25 August 1980            - 
1984) (    divorced)          ",Male,-1
               Masako          / Takashi Shimura,1905-3-12,-1,False,False,"
(?            - 
11 February 1982) (    his death)          ",Male,-1
 Joan Washington / Richard E. Grant,1957-5-5,-1,True,False,"
(1 November 1986            - 
present) (    2 children)          ",Male,Female
 Barbaree Earl Nielsen / Leslie Nielsen,1926-2-11,-1,False,False,"
(2001            - 
28 November 2010) (    his death)          ",Male,Female
               Bobbye Brooks Oliver          / Leslie Nielsen,1926-2-11,-1,False,False,"
(13 November 1981            - 
5 December 1984) (    divorced)          ",Male,-1
               Alisande Ullman          / Leslie Nielsen,1926-2-11,-1,False,False,"
(10 September 1958            - 
1974) (    divorced) (    2 children)          ",Male,-1
 Monica Boyer / Leslie Nielsen,1926-2-11,-1,False,False,"
(28 December 1950            - 
9 June 1957) (    divorced)          ",Male,Female
 Maureen Pegg / Simon Pegg,1970-2-14,-1,False,False,"
(23 July 2005            - 
present) (    1 child)          ",Male,-1
 Nicoletta Peyran / John Malkovich,1953-12-9,-1,True,False,"
(20 September 1989            - 
present) (    2 children)          ",Male,-1
 Glenne Headly / John Malkovich,1953-12-9,1955-3-13,True,False,"
(2 August 1982            - 
1 January 1988) (    divorced)          ",Male,Female
 Kate Arrington / Michael Shannon,1974-8-7,-1,True,False,"
(31 August 2019            - 
present) (    2 children)          ",Male,Female
 Janet Sheen / Martin Sheen,1940-8-3,1944-7-8,True,False,"
(23 December 1961            - 
present) (    4 children)          ",Male,Female
 Jamie Lee Curtis / Christopher Guest,1948-2-5,1958-11-22,False,True,"
(18 December 1984            - 
present) (    2 children)          ",Male,Female
 Rima Horton / Alan Rickman,1946-2-21,-1,True,False,"
(31 August 2012            - 
14 January 2016) (    his death)          ",Male,-1
               Amelia Cruz          / Jackie Earle Haley,1961-7-14,-1,True,False,"
(6 August 2004            - 
present)          ",Male,-1
               Jennifer Hargrave          / Jackie Earle Haley,1961-7-14,-1,True,False,"
(1985            - 
?) (    divorced) (    2 children)          ",Male,-1
               Sherry Vaughan          / Jackie Earle Haley,1961-7-14,-1,True,False,"
(6 November 1979            - 
?) (    divorced)          ",Male,-1
 Kim Schmidt / Gig Young,1913-11-4,1946-11-30,True,False,"
(27 September 1978            - 
19 October 1978) (    her death)          ",Male,-1
 Elaine Young / Gig Young,1913-11-4,1935-1-13,True,False,"
(18 September 1963            - 
23 November 1966) (    divorced) (    1 child)          ",Male,Female
 Elizabeth Montgomery / Gig Young,1913-11-4,1933-4-15,True,True,"
(28 December 1956            - 
1963) (    divorced)          ",Male,Female
               Sophie Rosenstein          / Gig Young,1913-11-4,-1,True,False,"
(29 December 1950            - 
11 November 1952) (    her death)          ",Male,-1
               Sheila Stapler          / Gig Young,1913-11-4,-1,True,False,"
(2 August 1940            - 
18 August 1949) (    divorced)          ",Male,-1
 Victoria Spader / James Spader,1960-2-7,1959-6-1,True,False,"
(1987            - 
2004) (    divorced) (    2 children)          ",Male,-1
 Rebecca Gleeson / Eric Bana,1968-8-9,1971-0-0,False,False,"
(2 August 1997            - 
present) (    2 children)          ",Male,-1
               Virginia Jansen          / Robert Shaw,1927-8-9,-1,True,False,"
(29 July 1976            - 
28 August 1978) (    his death) (    2 children)          ",Male,-1
 Mary Ure / Robert Shaw,1927-8-9,1933-2-18,True,True,"
(13 April 1963            - 
3 April 1975) (    her death) (    4 children)          ",Male,Female
               Jennifer Bourke          / Robert Shaw,1927-8-9,-1,True,False,"
(1952            - 
1963) (    divorced) (    4 children)          ",Male,-1
 Sean Taylor / Jacki Weaver,1947-5-25,-1,True,False,"
(2003            - 
present)          ",Female,-1
 Derryn Hinch / Jacki Weaver,1947-5-25,1944-2-9,True,False,"
(25 February 1983            - 
1996) (    divorced)          ",Female,Male
               Max Hensser          / Jacki Weaver,1947-5-25,-1,True,False,"
(1975            - 
1977) (    divorced)          ",Female,-1
               David Price          / Jacki Weaver,1947-5-25,-1,True,False,"
(1966            - 
1970) (    divorced)          ",Female,-1
 Michel Hazanavicius / Bérénice Bejo,1976-7-7,1967-3-29,True,True,"
(?            - 
present) (    2 children)          ",Female,Male
 Noah Baumbach / Jennifer Jason Leigh,1962-2-5,1969-9-3,True,True,"
(2 September 2005            - 
17 September 2013) (    divorced) (    1 child)          ",Female,Male
 Bruce Abbott / Kathleen Quinlan,1954-11-19,1954-7-28,True,False,"
(12 April 1994            - 
present) (    1 child)          ",Female,-1
 Warren Long / Kathleen Quinlan,1954-11-19,-1,True,False,"
(19 December 1987            - 
?) (    divorced)          ",Female,-1
 Eric Slovin / Amy Ryan,1968-5-3,1967-9-11,True,False,"
(23 August 2011            - 
present) (    1 child)          ",Female,Male
 Ossie Davis / Ruby Dee,1922-10-27,1917-12-18,True,True,"
(9 December 1948            - 
4 February 2005) (    his death) (    3 children)          ",Female,Male
               Frankie Dee Brown          / Ruby Dee,1922-10-27,-1,True,False,"
(31 August 1941            - 
1945) (    divorced)          ",Female,-1
 David Rabe / Jill Clayburgh,1944-4-30,1940-3-10,True,False,"
(8 March 1979            - 
5 November 2010) (    her death) (    2 children)          ",Female,Male
 Arnaldo Pipke / Adriana Barraza,1956-3-5,-1,True,False,"
(29 April 2005            - 
present)          ",Female,Male
               Carlos Valsagna          / Adriana Barraza,1956-3-5,-1,True,False,"
(1978            - 
1985) (    divorced) (    1 child)          ",Female,-1
 Shôta Sometani / Rinko Kikuchi,1981-1-6,1992-9-3,True,False,"
(31 December 2014            - 
present) (    1 child)          ",Female,Male
 Dermot Mulroney / Catherine Keener,1959-3-23,1963-10-31,True,False,"
(17 November 1990            - 
17 December 2007) (    divorced) (    1 child)          ",Female,Male
 Jean-Michel Jarre / Charlotte Rampling,1946-2-5,1948-8-24,True,False,"
(8 October 1976            - 
1996) (    divorced) (    1 child)          ",Female,Male
 Bryan Southcombe / Charlotte Rampling,1946-2-5,1937-0-0,True,False,"
(1972            - 
1976) (    divorced) (    1 child)          ",Female,Male
 Houshang Touzie / Shohreh Aghdashloo,1952-5-11,-1,True,False,"
(1987            - 
present) (    1 child)          ",Female,Male
 Aydin Aghdashloo / Shohreh Aghdashloo,1952-5-11,-1,True,False,"
(1972            - 
1980) (    divorced)          ",Female,Male
 John Clark / Lynn Redgrave,1943-3-8,1932-11-1,True,False,"
(2 April 1967            - 
22 December 2000) (    divorced) (    3 children)          ",Female,Male
 Andrew Taylor / Rachel Griffiths,1968-12-18,-1,True,False,"
(31 December 2002            - 
present) (    3 children)          ",Female,-1
 Tom Ackerley / Margot Robbie,1990-7-2,-1,True,False,"
(18 December 2016            - 
present)          ",Female,Male
 Nick Flynn / Lili Taylor,1967-2-20,1960-0-0,False,False,"
(25 November 2009            - 
present) (    1 child)          ",Female,Male
 Scott Campbell / Lake Bell,1979-3-24,-1,False,False,"
(1 June 2013            - 
present) (    2 children)          ",Female,-1
               Rosemary McGroarty Clark          / Claude Rains,1889-11-10,-1,True,False,"
(August 1960            - 
31 December 1964) (    her death)          ",Male,-1
               Agi Jambor          / Claude Rains,1889-11-10,-1,True,False,"
(4 November 1959            - 
29 July 1960) (    divorced)          ",Male,-1
               Frances Propper          / Claude Rains,1889-11-10,-1,True,False,"
(8 April 1935            - 
1956) (    divorced) (    1 child)          ",Male,-1
 Beatrix Thomson / Claude Rains,1889-11-10,1900-3-13,True,False,"
(November 1924            - 
8 April 1935) (    divorced)          ",Male,Female
 Marie Hemingway / Claude Rains,1889-11-10,1889-3-3,True,False,"
(1920            - 
1920) (    divorced)          ",Male,Female
 Isabel Jeans / Claude Rains,1889-11-10,1891-9-16,True,False,"
(1913            - 
1918) (    divorced)          ",Male,Female
 Jo Andres / Steve Buscemi,1957-12-13,1954-5-21,True,False,"
(1987            - 
6 January 2019) (    her death) (    1 child)          ",Male,Female
               Suzanne A. D. Wilkinson          / John Rhys-Davies,1944-5-5,-1,False,False,"
(December 1966            - 
2010) (    her death) (    2 children)          ",Male,-1
               Marianne Hoepfner          / Jean-Louis Trintignant,1930-12-11,-1,False,False,"
(2000            - 
present)          ",Male,-1
 Nadine Trintignant / Jean-Louis Trintignant,1930-12-11,1934-11-11,False,False,"
(11 December 1961            - 
1976) (    divorced) (    3 children)          ",Male,Female
 Stéphane Audran / Jean-Louis Trintignant,1930-12-11,1932-11-8,False,False,"
(18 November 1954            - 
1956) (    divorced)          ",Male,Female
 Patricia Medina / Joseph Cotten,1905-5-15,1919-7-19,False,False,"
(20 October 1960            - 
6 February 1994) (    his death)          ",Male,Female
               Lenore Kipp          / Joseph Cotten,1905-5-15,-1,False,False,"
(18 October 1931            - 
7 January 1960) (    her death)          ",Male,-1
               Cindy Margaret Pepper          / Barry Pepper,1970-4-4,-1,True,False,"
(16 November 1997            - 
present) (    1 child)          ",Male,-1
 Valerie Germonprez / Erich von Stroheim,1885-9-22,1897-4-14,True,False,"
(16 October 1920            - 
12 May 1957) (    his death) (    1 child)          ",Male,Female
               Mary Agnes Jones          / Erich von Stroheim,1885-9-22,-1,True,False,"
(1916            - 
1919) (    divorced) (    1 child)          ",Male,-1
               Margaret Knox          / Erich von Stroheim,1885-9-22,-1,True,False,"
(19 February 1913            - 
1915) (    divorced)          ",Male,-1
 Dagmara Dominczyk / Patrick Wilson,1973-7-3,1976-7-17,True,False,"
(18 June 2005            - 
present) (    2 children)          ",Male,Female
 Lisa Loiacono / Christopher Lloyd,1938-10-22,-1,False,False,"
(23 November 2016            - 
present)          ",Male,-1
 Jane Walker Wood / Christopher Lloyd,1938-10-22,1960-0-0,False,False,"
(21 February 1992            - 
28 December 2005) (    divorced) (    1 child)          ",Male,-1
               Carol Ann Vanek          / Christopher Lloyd,1938-10-22,-1,False,False,"
(1988            - 
1991) (    divorced)          ",Male,-1
 Kay Tornborg / Christopher Lloyd,1938-10-22,1943-1-24,False,False,"
(1974            - 
1987) (    divorced)          ",Male,Female
 Catherine Boyd / Christopher Lloyd,1938-10-22,-1,False,False,"
(6 June 1959            - 
1971) (    divorced)          ",Male,Female
 Laura Prepon / Ben Foster,1980-10-29,1980-3-7,False,False,"
(3 June 2018            - 
present) (    2 children)          ",Male,Female
 Frances Dee / Joel McCrea,1905-11-5,1909-11-26,False,False,"
(20 October 1933            - 
20 October 1990) (    his death) (    3 children)          ",Male,Female
               Hwal-ran Kim          / Min-sik Choi,1962-1-22,-1,False,False,"
(1999            - 
present)          ",Male,-1
               Hwa-yeong Lee          / Min-sik Choi,1962-1-22,-1,False,False,"
(1990            - 
1996) (    divorced)          ",Male,-1
 Eve Mavrakis / Ewan McGregor,1971-3-31,1966-6-22,True,False,"
(22 July 1995            - 
present) (    filed for divorce) (    4 children)          ",Male,Female
               Sabine Ganz          / Bruno Ganz,1941-3-22,-1,False,False,"
(1965            - 
16 February 2019) (    his death) (    1 child)          ",Male,-1
 Christine Astin / Sean Astin,1971-2-25,1967-9-12,True,True,"
(11 July 1992            - 
present) (    3 children)          ",Male,Female
 Sutapa Sikdar / Irrfan Khan,1967-1-7,-1,False,False,"
(23 February 1995            - 
29 April 2020) (    his death) (    2 children)          ",Male,Female
               Morgan Macgregor          / Michael C. Hall,1971-2-1,-1,True,False,"
(29 February 2016            - 
present)          ",Male,-1
 Jennifer Carpenter / Michael C. Hall,1971-2-1,1979-12-7,True,False,"
(31 December 2008            - 
2 December 2011) (    divorced)          ",Male,Female
 Amy Spanger / Michael C. Hall,1971-2-1,1971-8-21,True,False,"
(1 May 2002            - 
2006) (    divorced)          ",Male,Female
 Brenda Siemer Scheider / Roy Scheider,1932-11-10,-1,True,False,"
(11 February 1989            - 
10 February 2008) (    his death) (    2 children)          ",Male,Female
 Cynthia Scheider / Roy Scheider,1932-11-10,-1,True,False,"
(8 November 1962            - 
1989) (    divorced) (    1 child)          ",Male,Female
 Summer Phoenix / Casey Affleck,1975-8-12,1978-12-10,True,False,"
(3 June 2006            - 
15 September 2017) (    divorced) (    2 children)          ",Male,Female
 Steffanie Busey / Gary Busey,1944-6-29,1974-8-19,True,False,"
(12 November 2019            - 
present) (    1 child)          ",Male,Female
 Tiani Warden / Gary Busey,1944-6-29,1967-9-9,True,False,"
(23 September 1996            - 
31 August 2001) (    divorced)          ",Male,Female
 Judy Busey / Gary Busey,1944-6-29,1944-1-2,True,False,"
(30 December 1968            - 
20 July 1990) (    divorced) (    1 child)          ",Male,Female
               Kathleen Rosemary Treado          / Jeff Daniels,1955-2-19,-1,True,False,"
(13 July 1979            - 
present) (    3 children)          ",Male,-1
 Felicity Blunt / Stanley Tucci,1960-11-11,-1,True,False,"
(29 September 2012            - 
present) (    2 children)          ",Male,Female
               Kathryn 'Kate' Louise Spath-Tucci          / Stanley Tucci,1960-11-11,-1,True,False,"
(18 April 1995            - 
27 April 2009) (    her death) (    3 children)          ",Male,-1
 Kelly Winn / Kiefer Sutherland,1966-12-21,-1,True,False,"
(29 June 1996            - 
19 May 2004) (    divorced)          ",Male,-1
 Camelia Kath / Kiefer Sutherland,1966-12-21,1954-12-10,True,False,"
(12 September 1987            - 
1 February 1990) (    divorced) (    1 child)          ",Male,Female
 Dickson Poon / Michelle Yeoh,1962-8-6,-1,False,False,"
(February 1988            - 
1992) (    divorced)          ",Female,Male
 James Cameron / Linda Hamilton,1956-9-26,1954-8-16,True,True,"
(26 July 1997            - 
16 December 1999) (    divorced) (    1 child)          ",Female,Male
 Bruce Abbott / Linda Hamilton,1956-9-26,1954-7-28,True,False,"
(19 December 1982            - 
28 December 1989) (    divorced) (    1 child)          ",Female,-1
 Paul Simon / Carrie Fisher,1956-10-21,1941-10-13,False,True,"
(16 August 1983            - 
1984) (    divorced)          ",Female,Male
 Þór Eldon / Björk,1965-11-21,1962-6-2,True,False,"
(1986            - 
1987) (    divorced) (    1 child)          ",Female,Male
 Stephen Berra / Juliette Lewis,1973-6-21,1973-5-10,True,False,"
(9 September 1999            - 
11 December 2005) (    divorced)          ",Female,Male
 Matthew Broderick / Sarah Jessica Parker,1965-3-25,1962-3-21,True,True,"
(19 May 1997            - 
present) (    3 children)          ",Female,Male
 Joe Morgenstern / Piper Laurie,1932-1-22,1932-10-3,True,False,"
(21 January 1962            - 
24 November 1982) (    divorced) (    1 child)          ",Female,Male
 Liam Hemsworth / Miley Cyrus,1992-11-23,1990-1-13,True,False,"
(23 December 2018            - 
28 January 2020) (    divorced)          ",Female,Male
 Jane Wagner / Lily Tomlin,1939-9-1,1935-2-26,True,False,"
(31 December 2013            - 
present)          ",Female,Female
 James Keach / Jane Seymour,1951-2-15,1947-12-7,True,False,"
(15 May 1993            - 
16 December 2015) (    divorced) (    2 children)          ",Female,Male
               David Flynn          / Jane Seymour,1951-2-15,-1,True,False,"
(18 July 1981            - 
1 May 1992) (    divorced) (    2 children)          ",Female,-1
               Victor Geoffrey Planer          / Jane Seymour,1951-2-15,-1,True,False,"
(20 August 1977            - 
1978) (    divorced)          ",Female,-1
 Michael Attenborough / Jane Seymour,1951-2-15,1950-2-13,True,False,"
(10 July 1971            - 
1973) (    divorced)          ",Female,Male
 Arthur Sheekman / Gloria Stuart,1910-7-4,1901-2-5,True,False,"
(29 July 1934            - 
12 January 1978) (    his death) (    1 child)          ",Female,Male
               Blair Gordon Newell          / Gloria Stuart,1910-7-4,-1,True,False,"
(21 June 1930            - 
17 May 1934) (    divorced)          ",Female,-1
 Jack Schwartzman / Talia Shire,1946-4-25,1932-7-22,True,False,"
(23 August 1980            - 
15 June 1994) (    his death) (    2 children)          ",Female,Male
 David Shire / Talia Shire,1946-4-25,1937-7-3,True,True,"
(29 March 1970            - 
8 May 1980) (    divorced) (    1 child)          ",Female,Male
               Yaron Versano          / Gal Gadot,1985-4-30,-1,False,False,"
(28 September 2008            - 
present) (    2 children)          ",Female,-1
               Richard Rudman          / Sue Lyon,1946-7-10,-1,True,False,"
(31 March 1985            - 
2002) (    divorced)          ",Female,-1
               Edward Weathers          / Sue Lyon,1946-7-10,-1,True,False,"
(11 February 1983            - 
26 January 1984) (    divorced)          ",Female,-1
               Cotton Adamson          / Sue Lyon,1946-7-10,-1,True,False,"
(4 November 1973            - 
1974) (    divorced)          ",Female,-1
               Roland Harrison          / Sue Lyon,1946-7-10,-1,True,False,"
(4 July 1971            - 
1972) (    divorced) (    1 child)          ",Female,-1
 Hampton Fancher / Sue Lyon,1946-7-10,1938-7-18,True,False,"
(22 December 1963            - 
1965) (    divorced)          ",Female,Male
 Amazon John Easterling / Olivia Newton-John,1948-9-26,-1,True,False,"
(30 June 2008            - 
present)          ",Female,Male
 Matt Lattanzi / Olivia Newton-John,1948-9-26,1959-2-1,True,False,"
(15 December 1984            - 
1995) (    divorced) (    1 child)          ",Female,Male
 John O'Neil / Teri Garr,1947-12-11,-1,True,False,"
(11 November 1993            - 
1996) (    divorced) (    1 child)          ",Female,Male
 Matthew Rhys / Keri Russell,1976-3-23,1974-11-8,True,True,"
(2014            - 
present) (    1 child)          ",Female,Male
               Shane Deary          / Keri Russell,1976-3-23,-1,True,False,"
(14 February 2007            - 
2013) (    divorced) (    2 children)          ",Female,-1
 Dennis Berry / Jean Seberg,1938-11-13,1944-8-11,True,False,"
(12 March 1972            - 
30 August 1979) (    her death)          ",Female,Male
 Romain Gary / Jean Seberg,1938-11-13,1914-5-21,True,False,"
(16 October 1962            - 
1 July 1970) (    divorced) (    1 child)          ",Female,Male
 François Moreuil / Jean Seberg,1938-11-13,1934-1-24,True,False,"
(5 September 1958            - 
21 September 1960) (    divorced)          ",Female,Male
 David Sandomierski / Sarah Polley,1979-1-8,-1,True,False,"
(23 August 2011            - 
present) (    2 children)          ",Female,-1
 David Wharnsby / Sarah Polley,1979-1-8,1967-6-20,True,False,"
(10 September 2003            - 
2008) (    divorced)          ",Female,-1
 Kathryn Boyd Brolin / Josh Brolin,1968-2-12,-1,True,False,"
(24 September 2016            - 
present) (    1 child)          ",Male,Female
 Diane Lane / Josh Brolin,1968-2-12,1965-1-22,True,True,"
(15 August 2004            - 
27 November 2013) (    divorced)          ",Male,Female
 Alice Adair / Josh Brolin,1968-2-12,-1,True,False,"
(1988            - 
1992) (    divorced) (    2 children)          ",Male,Female
 Dixie Carter / Hal Holbrook,1925-2-17,1939-5-25,True,False,"
(27 May 1984            - 
10 April 2010) (    her death)          ",Male,Female
 Carol Eve Rossen / Hal Holbrook,1925-2-17,1937-8-12,True,False,"
(28 December 1966            - 
14 June 1983) (    divorced) (    1 child)          ",Male,Female
 Ruby Holbrook / Hal Holbrook,1925-2-17,1923-8-28,True,False,"
(21 September 1945            - 
1965) (    divorced) (    2 children)          ",Male,Female
 Arlene Alda / Alan Alda,1936-1-28,1933-3-12,True,False,"
(15 March 1957            - 
present) (    3 children)          ",Male,Female
 Sarah-Jane Fenton / Clive Owen,1964-10-3,-1,True,False,"
(6 March 1995            - 
present) (    2 children)          ",Male,Female
